rank,uid,profile,start_date,end_date,name,changesets,map_changes,highway_len_m,nodes.create,nodes.modify,nodes.delete,ways.create,ways.modify,ways.delete,relations.create,relations.modify,relations.delete,poi.create,poi.modify,building.create,building.modify,highway.create,highway.modify,waterway.create,waterway.modify,amenity.create,amenity.modify,countries,editors,hashtags,tags_create,tags_modify
11,4944143,https://www.openstreetmap.org/user/Damah,2023-07-30 00:00:00+00:00,2023-08-27 03:14:16+00:00,Damah,82.0,23626.0,0.0,17803.0,448.0,2258.0,2623.0,5.0,489.0,0.0,0.0,0.0,0.0,0.0,2623.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,Kenya,JOSM/1.5 (18789 en_GB),"#fao_swalim,#hotosm-project-15383,#fao_rtea,#hotosm-project-15385,#hotosm-project-15387,#omhesa,#hotosm-project-15388,#elnino2023,#hotosm-project-15386","{""building"": 2623}","{""building"": 4, ""highway"": 1}"
12,7562542,https://www.openstreetmap.org/user/SSEKITOLEKO,2023-07-30 00:00:00+00:00,2023-08-27 03:14:16+00:00,SSEKITOLEKO,150.0,22706.0,0.0,9696.0,8760.0,2080.0,1369.0,426.0,369.0,5.0,0.0,1.0,2.0,3.0,1364.0,351.0,4.0,64.0,0.0,1.0,0.0,3.0,"Somalia,Kenya",JOSM/1.5 (18646 en),"#fao_swalim,#hotosm-project-15383,#hotosm-project-15227,#fao_rtea,#hotosm-project-15233,#hotosm-project-15387,#omhesa,#hotosm-project-15388,#elnino2023,#hotosm-project-15386","{""building"": 1364, ""type"": 5, ""highway"": 4, ""surface"": 2, ""ford"": 2}","{""building"": 351, ""highway"": 64, ""surface"": 35, ""landuse"": 5, ""source"": 4, ""religion"": 3, ""amenity"": 3, ""place"": 3, ""tracktype"": 2, ""name"": 1, ""intermittent"": 1, ""waterway"": 1, ""tourism"": 1, ""attribution"": 1}"
13,13352087,https://www.openstreetmap.org/user/King%20edgar,2023-07-30 00:00:00+00:00,2023-08-27 03:14:16+00:00,King edgar,170.0,22625.0,0.0,18016.0,303.0,1.0,4287.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,4285.0,15.0,1.0,3.0,0.0,0.0,0.0,0.0,"Somalia,Kenya",JOSM/1.5 (18583 en),"#fao_swalim,#hotosm-project-15255,#fao_rtea,#elinino2023,#hotosm-project-15385,#hotosm-project-15387,#omhesa,#hotosm-project-15258,#hotosm-project-15393,#elnino2023,#hotosm-project-15395","{""building"": 4285, ""highway"": 1, ""natural"": 1, ""water"": 1}","{""building"": 15, ""highway"": 3, ""surface"": 3}"
14,5113626,https://www.openstreetmap.org/user/zoubinnaba,2023-07-30 00:00:00+00:00,2023-08-27 03:14:16+00:00,zoubinnaba,104.0,22374.0,3529.0,15887.0,1589.0,880.0,3650.0,270.0,98.0,0.0,0.0,0.0,0.0,0.0,3637.0,119.0,13.0,145.0,0.0,2.0,0.0,0.0,"Somalia,Kenya",JOSM/1.5 (18797 fr),"#fao_swalim,#hotosm-project-15255,#fao_rtea,#elinino2023,#hotosm-project-15385,#hotosm-project-15392,#omhesa,#hotosm-project-15371,#hotosm-project-15225,#elnino2023","{""building"": 3637, ""highway"": 13, ""surface"": 4, ""layer"": 2, ""source"": 2, ""bridge"": 2}","{""highway"": 145, ""building"": 119, ""source"": 88, ""surface"": 46, ""tracktype"": 14, ""attribution"": 10, ""name"": 5, ""landuse"": 4, ""intermittent"": 2, ""waterway"": 2, ""alt_name"": 2, ""ref"": 1, ""noname"": 1}"
15,18434194,https://www.openstreetmap.org/user/HarryKMapper,2023-07-30 00:00:00+00:00,2023-08-27 03:14:16+00:00,HarryKMapper,180.0,22010.0,107.0,12183.0,5551.0,1322.0,2393.0,379.0,168.0,14.0,0.0,0.0,0.0,2.0,2375.0,364.0,3.0,15.0,0.0,0.0,0.0,0.0,"Somalia,Kenya",JOSM/1.5 (18646 en_AU),"#fao_swalim,#hotosm-project-15383,#hotosm-project-15255,#fao_rtea,#elinino2023,#hotosm-project-15232,#hotosm-project-15385,#hotosm-project-15387,#hotosm-project-15256,#omhesa,#hotosm-project-15258,#hotosm-project-15388,#elnino2023,#hotosm-project-15225","{""building"": 2375, ""type"": 14, ""highway"": 3, ""surface"": 2}","{""building"": 364, ""highway"": 15, ""surface"": 11, ""source"": 3, ""name"": 2, ""place"": 2, ""pcode"": 1, ""tracktype"": 1, ""foot"": 1, ""bicycle"": 1, ""horse"": 1, ""motor_vehicle"": 1, ""smoothness"": 1, ""attribution"": 1}"
16,17266950,https://www.openstreetmap.org/user/tonny_mwendwa76,2023-07-30 00:00:00+00:00,2023-08-27 03:14:16+00:00,tonny_mwendwa76,128.0,20651.0,0.0,16256.0,609.0,76.0,3659.0,38.0,12.0,1.0,0.0,0.0,0.0,0.0,3658.0,37.0,0.0,1.0,0.0,0.0,0.0,0.0,"Somalia,Kenya","JOSM/1.5 (18789 en),JOSM/1.5 (18814 en),iD 2.21.1","#fao_swalim,#hotosm-project-15227,#fao_rtea,#elinino2023,#hotosm-project-15232,#hotosm-project-15387,#AGGES,#hotosm-project-15226,#omhesa,#hotosm-project-15388,#elnino2023","{""building"": 3658, ""type"": 1}","{""building"": 37, ""highway"": 1, ""surface"": 1}"
17,762852,https://www.openstreetmap.org/user/Nickson%20Kals,2023-07-30 00:00:00+00:00,2023-08-27 03:14:16+00:00,Nickson Kals,37.0,19856.0,16082.0,18023.0,3.0,0.0,1828.0,2.0,0.0,0.0,0.0,0.0,17486.0,2.0,19127.0,2.0,39.0,0.0,0.0,0.0,0.0,0.0,Ethiopia,JOSM/1.5 (18789 en),"#fao_swalim,#fao_rtea,#omhesa,#hotosm-project-15401,#elnino2023","{""building"": 19127, ""landuse"": 49, ""highway"": 39}","{""building"": 2, ""landuse"": 2, ""name"": 1, ""is_in:country_code"": 1, ""is_in:continent"": 1, ""place"": 1, ""source"": 1, ""is_in:country"": 1}"
18,17294530,https://www.openstreetmap.org/user/Cornelius%20Kipruto,2023-07-30 00:00:00+00:00,2023-08-27 03:14:16+00:00,Cornelius Kipruto,119.0,19293.0,0.0,14184.0,1451.0,519.0,3014.0,93.0,32.0,0.0,0.0,0.0,0.0,0.0,3014.0,76.0,0.0,12.0,0.0,3.0,0.0,1.0,Kenya,"JOSM/1.5 (18583 en),iD 2.21.1","#hotosm-project-15390,#fao_swalim,#hotosm-project-15383,#fao_rtea,#hotosm-project-15387,#omhesa,#hotosm-project-15388,#elnino2023,#krcs-elnino-mapping,#hotosm-project-15395","{""building"": 3014}","{""building"": 76, ""highway"": 12, ""name"": 3, ""waterway"": 3, ""wikipedia"": 2, ""source"": 2, ""intermittent"": 1, ""healthcare"": 1, ""amenity"": 1, ""alt_name"": 1, ""wikidata"": 1, ""surface"": 1, ""place"": 1, ""is_in:country"": 1}"
19,11525407,https://www.openstreetmap.org/user/DouceLuvango,2023-07-30 00:00:00+00:00,2023-08-27 03:14:16+00:00,DouceLuvango,103.0,18974.0,7948.0,12391.0,3339.0,318.0,2437.0,415.0,47.0,27.0,0.0,0.0,0.0,0.0,2361.0,302.0,73.0,101.0,0.0,0.0,0.0,0.0,Somalia,JOSM/1.5 (18303 fr),"#fao_swalim,#fao_rtea,#hotosm-project-15233,#hotosm-project-15232,#hotosm-project-15254,#hotosm-project-15234,#elinino2023,#omhesa,#hotosm-project-15225,#elnino2023","{""building"": 2361, ""highway"": 73, ""type"": 27, ""surface"": 16, ""name"": 2, ""tracktype"": 2}","{""building"": 302, ""highway"": 101, ""surface"": 96, ""tracktype"": 8, ""barrier"": 1, ""name"": 1, ""source"": 1}"
20,7216391,https://www.openstreetmap.org/user/Keren%20Wang%27ombe,2023-07-30 00:00:00+00:00,2023-08-27 03:14:16+00:00,Keren Wang'ombe,95.0,18446.0,0.0,9851.0,5532.0,573.0,1811.0,503.0,75.0,99.0,1.0,1.0,0.0,0.0,1799.0,374.0,0.0,26.0,2.0,5.0,0.0,0.0,"Kenya,Somalia,Ethiopia",JOSM/1.5 (18789 en_GB),"#hotosm-project-15390,#fao_swalim,#hotosm-project-15383,#fao_rtea,#hotosm-project-15233,#hotosm-project-15254,#hotosm-project-15234,#hotosm-project-15387,#hotosm-project-15400,#omhesa,#elnino2023,#hotosm-project-15386","{""building"": 1799, ""type"": 99, ""name"": 2, ""boat"": 2, ""waterway"": 2, ""source"": 2, ""natural"": 1}","{""building"": 374, ""highway"": 26, ""surface"": 24, ""waterway"": 5, ""name"": 4, ""tracktype"": 3, ""landuse"": 3, ""source"": 3, ""boat"": 2, ""layer"": 1, ""access"": 1, ""width"": 1, ""natural"": 1, ""water"": 1, ""type"": 1, ""motorcycle"": 1, ""motorcar"": 1, ""oneway"": 1, ""mtb:scale"": 1}"
21,15739934,https://www.openstreetmap.org/user/Arnold%20Nkwabong,2023-07-30 00:00:00+00:00,2023-08-27 03:14:16+00:00,Arnold Nkwabong,53.0,18012.0,0.0,11820.0,3154.0,308.0,2502.0,184.0,42.0,1.0,1.0,0.0,126.0,60.0,2501.0,156.0,0.0,25.0,0.0,2.0,0.0,0.0,"Somalia,Ethiopia","JOSM/1.5 (18646 fr),JOSM/1.5 (18646 en)","#highways,#corrected,#fao_swalim,#fao_rtea,#elinino2023,#hotosm-project-15234,#modified,#hotosm-project-15226,#hotosm-project-15400,#omhesa,#GISCorps,#elnino2023,#buildings","{""building"": 2501, ""source"": 157, ""Full_Plus_Code"": 31, ""type"": 1}","{""building"": 156, ""source"": 65, ""highway"": 25, ""Full_Plus_Code"": 3, ""name:en"": 2, ""name"": 2, ""waterway"": 2, ""alt_name"": 2, ""destination"": 1, ""type"": 1, ""barrier"": 1, ""landuse"": 1}"
22,13063544,https://www.openstreetmap.org/user/onesimusGGA,2023-07-30 00:00:00+00:00,2023-08-27 03:14:16+00:00,onesimusGGA,98.0,16320.0,0.0,12877.0,510.0,35.0,2848.0,34.0,2.0,14.0,0.0,0.0,0.0,0.0,2835.0,16.0,0.0,13.0,0.0,0.0,0.0,0.0,"Somalia,Philippines,Kenya","JOSM/1.5 (18531 en),JOSM/1.5 (18678 en)","#hotosm-project-15390,#fao_swalim,#hotosm-project-15255,#hotosm-project-15227,#fao_rtea,#hotosm-project-15233,#hotosm-project-15254,#hotosm-project-15234,#omhesa,#youthmappersfuta,#hotosm-project-15388,#elnino2023,#krcs-elnino-mapping,#hotosm-project-15386","{""building"": 2835, ""type"": 14}","{""building"": 16, ""highway"": 13, ""surface"": 13, ""tracktype"": 2, ""attribution"": 2, ""source"": 2, ""barrier"": 1, ""landuse"": 1}"
23,15693878,https://www.openstreetmap.org/user/Titus%20Mulenga,2023-07-30 00:00:00+00:00,2023-08-27 03:14:16+00:00,Titus Mulenga,87.0,16302.0,1969.0,13139.0,412.0,91.0,2626.0,21.0,13.0,0.0,0.0,0.0,0.0,0.0,2620.0,13.0,6.0,7.0,0.0,0.0,0.0,0.0,Somalia,"JOSM/1.5 (18789 en),JOSM/1.5 (18463 en)","#fao_swalim,#elnino2023,#fao_rtea,#omhesa,#hotosm-project-15256","{""building"": 2620, ""highway"": 6}","{""building"": 13, ""highway"": 7, ""attribution"": 3, ""tracktype"": 3, ""surface"": 3, ""source"": 3, ""landuse"": 1}"
24,18967641,https://www.openstreetmap.org/user/Brendar%20with%20an%20%27R%27,2023-07-30 00:00:00+00:00,2023-08-27 03:14:16+00:00,Brendar with an 'R',123.0,15214.0,0.0,11793.0,214.0,418.0,2686.0,7.0,95.0,1.0,0.0,0.0,0.0,0.0,2684.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,Somalia,JOSM/1.5 (18789 en_GB),"#fao_swalim,#fao_rtea,#hotosm-project-15233,#hotosm-project-15232,#hotosm-project-15254,#hotosm-project-15234,#omhesa,#hotosm-project-15225,#elnino2023","{""building"": 2684, ""religion"": 1, ""office"": 1, ""type"": 1}","{""building"": 6, ""highway"": 1, ""surface"": 1}"
25,13339699,https://www.openstreetmap.org/user/Pavy_555,2023-07-30 00:00:00+00:00,2023-08-27 03:14:16+00:00,Pavy_555,173.0,15046.0,0.0,11719.0,200.0,806.0,2145.0,16.0,159.0,1.0,0.0,0.0,0.0,0.0,2145.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,Somalia,"JOSM/1.5 (18789 en),JOSM/1.5 (18820 en),iD 2.21.1","#fao_swalim,#hotosm-project-15255,#fao_rtea,#hotosm-project-15233,#hotosm-project-15232,#hotosm-project-15254,#hotosm-project-15234,#hotosm-project-15256,#omhesa,#hotosm-project-15258,#elnino2023,#hotosm-project-15225","{""building"": 2145, ""type"": 1}","{""highway"": 8, ""surface"": 8, ""landuse"": 6, ""layer"": 3, ""building"": 2, ""tracktype"": 1, ""attribution"": 1, ""source"": 1}"
26,11525751,https://www.openstreetmap.org/user/JaphetMasunzu,2023-07-30 00:00:00+00:00,2023-08-27 03:14:16+00:00,JaphetMasunzu,139.0,14615.0,16710.0,9294.0,3057.0,215.0,1802.0,207.0,29.0,11.0,0.0,0.0,0.0,3.0,1719.0,74.0,75.0,117.0,0.0,1.0,0.0,0.0,Somalia,JOSM/1.5 (18427 fr),"#fao_swalim,#hotosm-project-15255,#fao_rtea,#hotosm-project-15233,#hotosm-project-15232,#hotosm-project-15254,#hotosm-project-15234,#elinino2023,#hotosm-project-15226,#omhesa,#hotosm-project-15225,#elnino2023","{""building"": 1719, ""highway"": 75, ""type"": 11}","{""highway"": 117, ""surface"": 101, ""building"": 74, ""tracktype"": 19, ""attribution"": 9, ""source"": 9, ""landuse"": 4, ""place"": 3, ""name"": 2, ""layer"": 1, ""intermittent"": 1, ""waterway"": 1, ""fixme"": 1}"
27,13764145,https://www.openstreetmap.org/user/Choolwe%20Hamama,2023-07-30 00:00:00+00:00,2023-08-27 03:14:16+00:00,Choolwe Hamama,44.0,11951.0,0.0,10285.0,134.0,0.0,1518.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1518.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,Somalia,JOSM/1.5 (18427 en),"#fao_swalim,#fao_rtea,#omhesa,#hotosm-project-15258,#elnino2023","{""building"": 1518}","{""highway"": 12, ""surface"": 12, ""building"": 1, ""landuse"": 1}"
28,6305272,https://www.openstreetmap.org/user/bakole,2023-07-30 00:00:00+00:00,2023-08-27 03:14:16+00:00,bakole,33.0,11089.0,0.0,7881.0,1227.0,68.0,1865.0,45.0,3.0,0.0,0.0,0.0,0.0,0.0,1864.0,33.0,0.0,12.0,0.0,0.0,0.0,1.0,"Somalia,Kenya",JOSM/1.5 (18789 en),"#fao_swalim,#fao_rtea,#hotosm-project-15232,#hotosm-project-15387,#hotosm-project-15256,#omhesa,#hotosm-project-15225,#elnino2023","{""building"": 1864}","{""building"": 33, ""highway"": 12, ""surface"": 12, ""attribution"": 2, ""source"": 2, ""amenity"": 1, ""religion"": 1}"
29,9180262,https://www.openstreetmap.org/user/Muluba,2023-07-30 00:00:00+00:00,2023-08-27 03:14:16+00:00,Muluba,50.0,11007.0,11241.0,8610.0,378.0,5.0,1940.0,72.0,1.0,1.0,0.0,0.0,0.0,0.0,1841.0,3.0,93.0,66.0,0.0,0.0,0.0,1.0,Somalia,JOSM/1.5 (18700 fr),"#fao_swalim,#fao_rtea,#elinino2023,#omhesa,#hotosm-project-15225,#elnino2023","{""building"": 1841, ""highway"": 93, ""type"": 1}","{""highway"": 66, ""surface"": 40, ""source"": 4, ""building"": 3, ""barrier"": 2, ""amenity"": 1, ""landuse"": 1}"
30,10868456,https://www.openstreetmap.org/user/MichaelNdaro,2023-07-30 00:00:00+00:00,2023-08-27 03:14:16+00:00,MichaelNdaro,103.0,9793.0,0.0,6551.0,1236.0,467.0,1355.0,92.0,89.0,3.0,0.0,0.0,1.0,1.0,1353.0,63.0,0.0,24.0,1.0,1.0,0.0,0.0,"Somalia,United Republic of Tanzania,Kenya",JOSM/1.5 (18789 en),"#fao_swalim,#hotosm-project-15383,#hotosm-project-15255,#hotosm-project-15254,#fao_rtea,#elinino2023,#omhesa,#hotosm-project-15371,#hotosm-project-15225,#elnino2023","{""building"": 1353, ""type"": 3, ""name"": 1, ""natural"": 1, ""waterway"": 1}","{""building"": 63, ""highway"": 24, ""surface"": 19, ""source"": 7, ""name"": 2, ""tracktype"": 2, ""barrier"": 2, ""pcode"": 1, ""waterway"": 1, ""attribution"": 1, ""place"": 1, ""landuse"": 1}"
31,4498347,https://www.openstreetmap.org/user/Joachim_0,2023-07-30 00:00:00+00:00,2023-08-27 03:14:16+00:00,Joachim_0,156.0,9702.0,0.0,7844.0,74.0,1.0,1779.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1779.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,"Somalia,Kenya","JOSM/1.5 (18789 en),JOSM/1.5 (18821 en),JOSM/1.5 (18810 en),JOSM/1.5 (18808 en),iD 2.21.1,JOSM/1.5 (18818 en),JOSM/1.5 (18820 en),JOSM/1.5 (18806 en)","#fao_swalim,#hotosm-project-15380,#fao_rtea,#hotosm-project-15254,#hotosm-project-15232,#elinino2023,#hotosm-project-15234,#hotosm-project-15226,#omhesa,#hotosm-project-15225,#hotosm-project-15388,#elnino2023","{""building"": 1779, ""layer"": 3}","{""building"": 3, ""highway"": 1, ""surface"": 1}"
32,17708016,https://www.openstreetmap.org/user/Barbara%20Ogori,2023-07-30 00:00:00+00:00,2023-08-27 03:14:16+00:00,Barbara Ogori,548.0,9302.0,0.0,7218.0,428.0,5.0,1573.0,77.0,1.0,0.0,0.0,0.0,1.0,0.0,1417.0,69.0,0.0,6.0,0.0,0.0,0.0,0.0,"Somalia,Ethiopia",JOSM/1.5 (18583 en),"#fao_swalim,#hotosm-project-15255,#fao_rtea,#hotosm-project-15233,#hotosm-project-15232,#hotosm-project-15254,#elinino2023,#hotosm-project-15226,#hotosm-project-15400,#omhesa,#elnino2023","{""building"": 1417}","{""building"": 69, ""highway"": 6, ""surface"": 6, ""landuse"": 1}"
