rank,name,profile,uid,changesets,map_changes,countries,nodes.create,nodes.modify,nodes.delete,ways.create,ways.modify,ways.delete,relations.create,relations.modify,relations.delete,poi.create,poi.modify,building.create,building.modify,highway.create,highway.modify,waterway.create,waterway.modify,amenity.create,amenity.modify,tags_create,tags_modify,hashtags,start_date,end_date
11,duckman56,https://www.openstreetmap.org/user/duckman56,14864469,50,19558,United States of America,15710,493,72,2751,519,11,2,0,0,503,204,2269,26,949,677,0,0,2,8,"{""building"": 2269, ""source"": 2252, ""highway"": 949, ""footway"": 438, ""crossing"": 358, ""layer"": 18, ""natural"": 16, ""man_made"": 10, ""bridge"": 8, ""surface"": 7, ""crossing:markings"": 7, ""bicycle"": 7, ""landuse"": 6, ""name"": 4, ""oneway"": 3, ""railway"": 2, ""amenity"": 2, ""lanes"": 2, ""tiger:cfcc"": 2, ""tiger:county"": 2, ""tiger:name_base"": 2, ""tiger:name_direction_prefix"": 2, ""tiger:name_type"": 2, ""tiger:reviewed"": 2, ""foot"": 2, ""type"": 2, ""building:levels"": 1, ""building:part"": 1, ""addr:city"": 1, ""addr:housenumber"": 1, ""addr:postcode"": 1, ""addr:state"": 1, ""addr:street"": 1, ""height"": 1, ""access"": 1, ""brand"": 1, ""brand:wikidata"": 1, ""brand:wikipedia"": 1, ""fixme"": 1, ""short_name"": 1, ""restriction"": 1}","{""highway"": 677, ""name"": 296, ""tiger:county"": 158, ""tiger:cfcc"": 154, ""oneway"": 153, ""tiger:reviewed"": 135, ""tiger:name_base"": 132, ""tiger:name_type"": 131, ""tiger:zip_left"": 129, ""tiger:zip_right"": 122, ""tiger:name_direction_prefix"": 107, ""crossing"": 101, ""ref"": 101, ""lanes"": 95, ""operator"": 77, ""bus"": 75, ""public_transport"": 75, ""HFCS"": 68, ""bench"": 67, ""bin"": 67, ""network"": 67, ""network:wikidata"": 67, ""passenger_information_display"": 67, ""shelter"": 67, ""surface"": 58, ""maxspeed"": 48, ""hgv"": 44, ""access"": 37, ""source:maxspeed"": 33, ""service"": 28, ""building"": 26, ""old_ref:1945"": 21, ""tiger:name_base_1"": 20, ""unsigned_ref"": 19, ""sidewalk"": 18, ""footway"": 17, ""bicycle"": 16, ""cycleway"": 15, ""brand"": 14, ""brand:wikidata"": 14, ""foot"": 14, ""layer"": 14, ""horse"": 13, ""turn:lanes"": 12, ""toll"": 10, ""old_ref:pre_1945"": 10, ""name_1"": 9, ""source"": 9, ""gtfs_id"": 8, ""ntd_id"": 8, ""route_ref"": 8, ""amenity"": 8, ""ref:BCT"": 8, ""cycleway:right"": 8, ""addr:city"": 7, ""addr:housenumber"": 7, ""addr:postcode"": 7, ""addr:street"": 7, ""shop"": 7, ""destination:ref"": 7, ""lanes:backward"": 7, ""lanes:forward"": 7, ""addr:state"": 6, ""brand:wikipedia"": 6, ""destination"": 6, ""NHS"": 5, ""fdot:fihs"": 5, ""fdot:sis"": 5, ""note:name"": 5, ""height"": 5, ""man_made"": 5, ""alt_name"": 4, ""tiger:name_type_1"": 4, ""note:lanes"": 4, ""turn:lanes:backward"": 4, ""destination:lanes"": 4, ""turn:lanes:forward"": 4, ""contact:website"": 3, ""cuisine"": 3, ""takeaway"": 3, ""opening_hours"": 3, ""junction:ref"": 3, ""tiger:zip_left_1"": 3, ""hgv:national_network"": 3, ""source:hgv:national_network"": 3, ""natural"": 3, ""addr:unit"": 2, ""phone"": 2, ""maxspeed:type"": 2, ""tiger:name_direction_prefix_1"": 2, ""old_name"": 2, ""centre_turn_lane"": 2, ""electrified"": 2, ""gauge"": 2, ""old_railway_operator"": 2, ""railway"": 2, ""railway:traffic_mode"": 2, ""reporting_marks"": 2, ""usage"": 2, ""lit"": 2, ""construction"": 2, ""fixme"": 2, ""junction"": 1, ""noref"": 1, ""access:delivery"": 1, ""barrier"": 1, ""website"": 1, ""official_name"": 1, ""branch"": 1, ""tiger:zip_left_2"": 1, ""tiger:zip_left_3"": 1, ""tiger:zip_left_4"": 1, ""tiger:zip_right_1"": 1, ""bridge"": 1, ""fishing"": 1, ""water"": 1, ""area:highway"": 1, ""area"": 1, ""healthcare"": 1, ""short_name"": 1, ""landuse"": 1, ""denomination"": 1, ""ele"": 1, ""gnis:county_id"": 1, ""gnis:created"": 1, ""gnis:feature_id"": 1, ""gnis:state_id"": 1, ""ref:miabldg"": 1, ""religion"": 1, ""placement"": 1, ""change:backward"": 1, ""change:forward"": 1, ""crossing:markings"": 1}",,2023-02-19 00:00:00+00:00,2023-02-20 00:00:00+00:00
12,UztaxiSamarkand,https://www.openstreetmap.org/user/UztaxiSamarkand,17925720,6,18270,,5416,10667,1115,818,65,189,0,0,0,0,5,8,42,0,24,0,0,0,4,"{""building"": 8, ""restriction"": 1}","{""building"": 42, ""highway"": 24, ""amenity"": 4, ""name"": 4, ""name:ru"": 4, ""name:en"": 3, ""cuisine"": 2, ""railway"": 2, ""surface"": 2, ""living_street"": 2, ""addr:housenumber"": 1, ""addr:postcode"": 1, ""addr:street"": 1, ""opening_hours"": 1, ""phone"": 1, ""social_facility"": 1, ""social_facility:for"": 1, ""oneway"": 1, ""gauge"": 1, ""service"": 1}",,2023-02-19 00:00:00+00:00,2023-02-20 00:00:00+00:00
13,vaibhavnz,https://www.openstreetmap.org/user/vaibhavnz,4164103,3,16808,"India,New Zealand",15415,10,16,1361,2,4,0,0,0,65,0,1359,2,0,0,0,0,0,1,"{""building"": 1359, ""ref:linz:building_id"": 1331, ""source"": 1331, ""natural"": 65, ""man_made"": 27, ""building:levels"": 5, ""landuse"": 2, ""ref:linz:topo50_id"": 1}","{""building"": 2, ""access"": 1, ""amenity"": 1, ""changing_table"": 1, ""fee"": 1, ""female"": 1, ""male"": 1, ""toilets:disposal"": 1, ""toilets:position"": 1, ""wheelchair"": 1, ""addr:hamlet"": 1, ""addr:housenumber"": 1, ""addr:street"": 1, ""area"": 1, ""ref:linz:address_id"": 1}",,2023-02-19 00:00:00+00:00,2023-02-20 00:00:00+00:00
14,NANDJO,https://www.openstreetmap.org/user/NANDJO,4655096,3,16788,Nigeria,13432,21,94,3199,39,3,0,0,0,0,0,3068,0,131,38,0,0,0,0,"{""building"": 3068, ""highway"": 131, ""noname"": 131}","{""highway"": 38, ""noname"": 31, ""surface"": 3, ""landuse"": 1}","#hotosm-project-14292,#missingmaps,#28for28,#lovemaps,#youthmappers,#hotosm-project-14264,#TürkiyeEQ060223,#yercizenler,#turkey,#turkiye,#uhuzam,#cscrs",2023-02-19 00:00:00+00:00,2023-02-20 00:00:00+00:00
15,SvM,https://www.openstreetmap.org/user/SvM,130270,8,15187,Russian Federation,12441,771,202,1603,161,0,8,0,1,35,13,1287,4,87,101,27,11,0,2,"{""building"": 1287, ""natural"": 133, ""highway"": 87, ""landuse"": 67, ""service"": 32, ""waterway"": 27, ""residential"": 18, ""man_made"": 16, ""public_transport"": 14, ""barrier"": 11, ""layer"": 8, ""tunnel"": 8, ""water"": 8, ""type"": 8, ""bus"": 7, ""communication:mobile_phone"": 7, ""tower:type"": 7, ""name"": 4, ""leisure"": 2, ""sport"": 2, ""ford"": 1}","{""highway"": 101, ""name"": 36, ""natural"": 26, ""surface"": 19, ""ref"": 17, ""landuse"": 13, ""place"": 12, ""name:etymology:wikidata"": 11, ""waterway"": 11, ""source"": 11, ""wikidata"": 9, ""wikipedia"": 9, ""service"": 9, ""name:tt"": 7, ""public_transport"": 7, ""postal_code"": 5, ""water"": 5, ""official_status"": 4, ""shelter"": 4, ""name:cv"": 4, ""building"": 4, ""barrier"": 3, ""bench"": 3, ""name:en"": 2, ""name:ja"": 2, ""amenity"": 2, ""name:ru"": 2, ""population"": 2, ""population:date"": 2, ""name:ca"": 2, ""lanes"": 1, ""old_name"": 1, ""old_name:ru"": 1, ""name:pl"": 1, ""old_name:cv"": 1, ""residential"": 1, ""man_made"": 1}",,2023-02-19 00:00:00+00:00,2023-02-20 00:00:00+00:00
16,Umesh Marseni,https://www.openstreetmap.org/user/Umesh%20Marseni,18433882,17,14729,India,11774,11,0,2943,1,0,0,0,0,0,0,2943,0,0,0,0,0,0,0,"{""building"": 2943}","{""leisure"": 1}","#geoneer,#janashram",2023-02-19 00:00:00+00:00,2023-02-20 00:00:00+00:00
17,Spruner,https://www.openstreetmap.org/user/Spruner,9242843,50,14649,Niger,12851,421,144,856,361,16,0,0,0,23,9,1,0,342,282,158,33,1,0,"{""highway"": 342, ""natural"": 250, ""surface"": 220, ""intermittent"": 173, ""waterway"": 158, ""landuse"": 104, ""name"": 23, ""place"": 23, ""water"": 15, ""source"": 4, ""building"": 1, ""amenity"": 1}","{""highway"": 282, ""surface"": 216, ""source"": 135, ""intermittent"": 51, ""waterway"": 33, ""noname"": 26, ""natural"": 24, ""landuse"": 22, ""water"": 18, ""name"": 11, ""place"": 9, ""tracktype"": 3, ""project:mappingforniger"": 2, ""seasonal"": 2}",,2023-02-19 00:00:00+00:00,2023-02-20 00:00:00+00:00
18,dmgroom_ct,https://www.openstreetmap.org/user/dmgroom_ct,437598,17,13523,"Turkey,India",12773,405,181,104,49,5,3,2,1,0,1,0,0,17,35,0,0,0,0,"{""natural"": 40, ""highway"": 17, ""type"": 3, ""bridge"": 2, ""layer"": 2}","{""highway"": 35, ""name"": 4, ""surface"": 4, ""source"": 4, ""oneway"": 3, ""lanes"": 3, ""layer"": 2, ""natural"": 2, ""type"": 2, ""noexit"": 1, ""width"": 1, ""motorroad"": 1, ""ref"": 1, ""ref:old"": 1, ""narrow"": 1, ""overtaking"": 1, ""sidewalk"": 1, ""maxspeed"": 1}",,2023-02-19 00:00:00+00:00,2023-02-20 00:00:00+00:00
19,Космический Ветер,https://www.openstreetmap.org/user/%D0%9A%D0%BE%D1%81%D0%BC%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9%20%D0%92%D0%B5%D1%82%D0%B5%D1%80,16896269,16,12711,Russian Federation,11894,365,288,135,20,1,3,5,0,1,0,0,0,2,1,116,20,0,0,"{""waterway"": 116, ""name"": 23, ""natural"": 20, ""water"": 5, ""type"": 3, ""source:position"": 2, ""source:tracer"": 2, ""source:zoomlevel"": 2, ""width"": 2, ""intermittent"": 2, ""highway"": 2, ""layer"": 2, ""place"": 1, ""int_name"": 1, ""name:de"": 1, ""name:en"": 1, ""name:es"": 1, ""name:fr"": 1, ""name:it"": 1, ""name:pl"": 1, ""name:ru"": 1, ""name:zh"": 1, ""source"": 1, ""maxspeed"": 1, ""surface"": 1, ""bridge"": 1, ""tunnel"": 1, ""destination"": 1, ""gvr:code"": 1, ""wikipedia"": 1}","{""name"": 21, ""waterway"": 20, ""name:ru"": 6, ""int_name"": 5, ""name:de"": 5, ""name:en"": 5, ""name:es"": 5, ""name:fr"": 5, ""name:it"": 5, ""name:pl"": 5, ""name:zh"": 5, ""gvr:code"": 5, ""type"": 5, ""destination"": 4, ""wikipedia"": 4, ""source"": 3, ""wikidata"": 2, ""highway"": 1, ""maxspeed"": 1, ""surface"": 1, ""source:position"": 1, ""source:tracer"": 1, ""source:zoomlevel"": 1, ""width"": 1, ""natural"": 1, ""water"": 1, ""name:ca"": 1, ""distance"": 1, ""network"": 1, ""operator"": 1, ""route"": 1}",,2023-02-19 00:00:00+00:00,2023-02-20 00:00:00+00:00
20,Manisha Gharti Magar,https://www.openstreetmap.org/user/Manisha%20Gharti%20Magar,16481716,10,11770,U.K. of Great Britain and Northern Ireland,9416,0,0,2354,0,0,0,0,0,0,0,2354,0,0,0,0,0,0,0,"{""building"": 2354}",{},"#geoneer,#Janashram",2023-02-19 00:00:00+00:00,2023-02-20 00:00:00+00:00
